[2025-10-22 22:43:15] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 22:43:15] Client: Создан новый клиент | ID: 2, Абонемент: Годовой
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 2, Абонемент: Годовой
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 22:44:16] Trainer: Создан новый тренер | ID: 2, Специализация: Фитнес
[2025-10-22 22:44:16] Trainer: Создан новый тренер | ID: 1, Специализация: Йога
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 2, Абонемент: Йога
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 3, Абонемент: Йога
[2025-10-22 22:44:16] Trainer: Создан новый тренер | ID: 2, Специализация: Йога
[2025-10-22 22:44:16] Trainer: Создан новый тренер | ID: 10, Специализация: Пилатес
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 11, Абонемент: Месячный
[2025-10-22 22:44:16] Client: Создан новый клиент | ID: 12, Абонемент: Годовой
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 2, Абонемент: Годовой
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 22:49:35] Trainer: Создан новый тренер | ID: 2, Специализация: Фитнес
[2025-10-22 22:49:35] Trainer: Создан новый тренер | ID: 1, Специализация: Йога
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 2, Абонемент: Йога
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 3, Абонемент: Йога
[2025-10-22 22:49:35] Trainer: Создан новый тренер | ID: 2, Специализация: Йога
[2025-10-22 22:49:35] Trainer: Создан новый тренер | ID: 10, Специализация: Пилатес
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 11, Абонемент: Месячный
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 12, Абонемент: Годовой
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 13, Абонемент: Месячный
[2025-10-22 22:49:35] Client: Создан новый клиент | ID: 13, Абонемент: Месячный
[2025-10-22 22:49:35] Trainer: Создан новый тренер | ID: 1, Специализация: Йога
[2025-10-22 22:49:35] Trainer: Создан новый тренер | ID: 2, Специализация: Йога
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 2, Абонемент: Годовой
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 1, Абонемент: Годовой
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 2, Специализация: Фитнес
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 1, Специализация: Йога
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 2, Абонемент: Йога
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 3, Абонемент: Йога
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 2, Специализация: Йога
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 10, Специализация: Пилатес
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 11, Абонемент: Месячный
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 12, Абонемент: Годовой
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 13, Абонемент: Месячный
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 13, Абонемент: Месячный
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 1, Специализация: Йога
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 2, Специализация: Йога
[2025-10-22 23:01:51] Client: Создан новый клиент | ID: 13, Абонемент: Месячный
[2025-10-22 23:01:51] Trainer: Создан новый тренер | ID: 14, Специализация: Йога
